Data;Título;Link;Termo da pesquisa ;Autor;Fontes;Assuntos tratados;;
24.03.2015;Brésil : le trésorier du parti au pouvoir jugé pour corruption dans le scandale Petrobras;http://www.lemonde.fr/ameriques/article/2015/03/24/bresil-le-tresorier-du-parti-au-pouvoir-juge-pour-corruption-dans-le-scandale-petrobras_4599703_3222.html?xtmc=lava_jato&xtcr=84;Lava Jato;AFP  ;comunicado do Partido dos Trabalhadores (PT);João Vaccari (tesoureiro do PT), Lava Jato;;
19.06.2015;Brésil : nouvelles arrestations de dirigeants dans le scandale de corruption Petrobras;http://www.lemonde.fr/ameriques/article/2015/06/19/bresil-nouvelles-arrestations-de-dirigeants-dans-le-scandale-de-corruption-petrobras_4658278_3222.html?xtmc=lava_jato&xtcr=83;Lava Jato;Correspondente Nicolas Bourcier;Comunicado oficial da Odebrecht;Prisão de Marcelo Odebrecht e Octavio Azevedo;;
19.06.2015;Brésil : nouvelles arrestations de dirigeants dans le scandale de corruption Petrobras;http://www.lemonde.fr/ameriques/article/2015/06/19/bresil-nouvelles-arrestations-de-dirigeants-dans-le-scandale-de-corruption-petrobras_4658278_3222.html?xtmc=lava_jato&xtcr=83;Lava Jato;Correspondente Nicolas Bourcier;Polícia Federal;Prisão de Marcelo Odebrecht e Octavio Azevedo;;
12.08.2015 ;La descente aux enfers de Marcelo Odebrecht;http://www.lemonde.fr/economie/article/2015/08/12/la-descente-aux-enfers-de-marcelo-odebrecht_4722099_3234.html?xtmc=lava_jato&xtcr=82;Lava Jato;Correspondente Nicolas Bourcier;Wall Street Journal;Marcelo Odebrecht;Prisão de Marcelo Odebrechet;
10.09.2015;"Le chemin de croix de Dilma Rousseff
";http://www.lemonde.fr/ameriques/article/2015/09/10/le-chemin-de-croix-de-dilma-rousseff_4750709_3222.html#K7cwpg9S2ScZhUOk.99;Lava Jato;Correspondente Claire Gatinois;Jorge Zaverucha (politicólogo);Crise no governo de Dilma Rousseff;;Uma crise moral, porque a recessão, o desemprego e a inflação são adicionados ao efeito devastador dos casos de corrupção. Não passa um dia sem a operação Lava jato, a investigação sobre o pagamento de subornos ligados ao grupo petrolífero estatal da Petrobras, não envolver políticos de todos os lados bem como líderes do edifício e obras públicas.
10.09.2015;"Le chemin de croix de Dilma Rousseff
";http://www.lemonde.fr/ameriques/article/2015/09/10/le-chemin-de-croix-de-dilma-rousseff_4750709_3222.html#K7cwpg9S2ScZhUOk.99;Lava Jato;Correspondente Claire Gatinois;Standard & Poor (agência de rating);Crise no governo de Dilma Rousseff;;Uma crise moral, porque a recessão, o desemprego e a inflação são adicionados ao efeito devastador dos casos de corrupção. Não passa um dia sem a operação Lava jato, a investigação sobre o pagamento de subornos ligados ao grupo petrolífero estatal da Petrobras, não envolver políticos de todos os lados bem como líderes do edifício e obras públicas.
10.09.2015;"Le chemin de croix de Dilma Rousseff
";http://www.lemonde.fr/ameriques/article/2015/09/10/le-chemin-de-croix-de-dilma-rousseff_4750709_3222.html#K7cwpg9S2ScZhUOk.99;Lava Jato;Correspondente Claire Gatinois;Dilma Rousseff;Crise no governo de Dilma Rousseff;;Uma crise moral, porque a recessão, o desemprego e a inflação são adicionados ao efeito devastador dos casos de corrupção. Não passa um dia sem a operação Lava jato, a investigação sobre o pagamento de subornos ligados ao grupo petrolífero estatal da Petrobras, não envolver políticos de todos os lados bem como líderes do edifício e obras públicas.
10.09.2015;"Le chemin de croix de Dilma Rousseff
";http://www.lemonde.fr/ameriques/article/2015/09/10/le-chemin-de-croix-de-dilma-rousseff_4750709_3222.html#K7cwpg9S2ScZhUOk.99;Lava Jato;Correspondente Claire Gatinois;Estado de S. Paulo ( José Neumanne Pinto);Crise no governo de Dilma Rousseff;;Uma crise moral, porque a recessão, o desemprego e a inflação são adicionados ao efeito devastador dos casos de corrupção. Não passa um dia sem a operação Lava jato, a investigação sobre o pagamento de subornos ligados ao grupo petrolífero estatal da Petrobras, não envolver políticos de todos os lados bem como líderes do edifício e obras públicas.
10.09.2015;"Le chemin de croix de Dilma Rousseff
";http://www.lemonde.fr/ameriques/article/2015/09/10/le-chemin-de-croix-de-dilma-rousseff_4750709_3222.html#K7cwpg9S2ScZhUOk.99;Lava Jato;Correspondente Claire Gatinois;Michel Temer;Crise no governo de Dilma Rousseff;;Uma crise moral, porque a recessão, o desemprego e a inflação são adicionados ao efeito devastador dos casos de corrupção. Não passa um dia sem a operação Lava jato, a investigação sobre o pagamento de subornos ligados ao grupo petrolífero estatal da Petrobras, não envolver políticos de todos os lados bem como líderes do edifício e obras públicas.
10.09.2015;"Le chemin de croix de Dilma Rousseff
";http://www.lemonde.fr/ameriques/article/2015/09/10/le-chemin-de-croix-de-dilma-rousseff_4750709_3222.html#K7cwpg9S2ScZhUOk.99;Lava Jato;Correspondente Claire Gatinois;Marco Antonio Carvalho Teixeira (politólogo da FGV);Crise no governo de Dilma Rousseff;;Uma crise moral, porque a recessão, o desemprego e a inflação são adicionados ao efeito devastador dos casos de corrupção. Não passa um dia sem a operação Lava jato, a investigação sobre o pagamento de subornos ligados ao grupo petrolífero estatal da Petrobras, não envolver políticos de todos os lados bem como líderes do edifício e obras públicas.
10.09.2015;"Le chemin de croix de Dilma Rousseff
";http://www.lemonde.fr/ameriques/article/2015/09/10/le-chemin-de-croix-de-dilma-rousseff_4750709_3222.html#K7cwpg9S2ScZhUOk.99;Lava Jato;Correspondente Claire Gatinois;Hélio Bicudo;Crise no governo de Dilma Rousseff;;Uma crise moral, porque a recessão, o desemprego e a inflação são adicionados ao efeito devastador dos casos de corrupção. Não passa um dia sem a operação Lava jato, a investigação sobre o pagamento de subornos ligados ao grupo petrolífero estatal da Petrobras, não envolver políticos de todos os lados bem como líderes do edifício e obras públicas.
10.09.2015;"Le chemin de croix de Dilma Rousseff
";http://www.lemonde.fr/ameriques/article/2015/09/10/le-chemin-de-croix-de-dilma-rousseff_4750709_3222.html#K7cwpg9S2ScZhUOk.99;Lava Jato;Correspondente Claire Gatinois;Flavio Rocha (Riachuelo);Crise no governo de Dilma Rousseff;;Uma crise moral, porque a recessão, o desemprego e a inflação são adicionados ao efeito devastador dos casos de corrupção. Não passa um dia sem a operação Lava jato, a investigação sobre o pagamento de subornos ligados ao grupo petrolífero estatal da Petrobras, não envolver políticos de todos os lados bem como líderes do edifício e obras públicas.
27.11.2015;"Au Brésil, le scandale Petrobras-BTP fait trembler le monde politique
";http://www.lemonde.fr/international/article/2015/11/27/au-bresil-le-scandale-petrobras-fait-trembler-brasilia_4818598_3210.html#rbjvRTPIOffPttY5.99;Lava Jato;Correspondente Claire Gatinois;Comunicado oficial de Dilma Rousseff;Prisão de Delcídio do Amaral;"Dilma é tratada como isolada e impopular (Impopulaire et isolée, elle gouverne avec un Congrès qui lui est de plus en plus hostile. Les mesures quelle juge nécessaires pour redresser léconomie et assainir les finances publiques donnent lieu à dinterminables batailles ou sont rejetée). Moro é tratado como ""juizinho de Curitiba"" « petit juge de Curitiba »";
27.11.2015;"Au Brésil, le scandale Petrobras-BTP fait trembler le monde politique
";http://www.lemonde.fr/international/article/2015/11/27/au-bresil-le-scandale-petrobras-fait-trembler-brasilia_4818598_3210.html#rbjvRTPIOffPttY5.99;Lava Jato;Correspondente Claire Gatinois;fonte anônima próxima a Lula;Prisão de Delcídio do Amaral;"Dilma é tratada como isolada e impopular (Impopulaire et isolée, elle gouverne avec un Congrès qui lui est de plus en plus hostile. Les mesures quelle juge nécessaires pour redresser léconomie et assainir les finances publiques donnent lieu à dinterminables batailles ou sont rejetée). Moro é tratado como ""juizinho de Curitiba"" « petit juge de Curitiba »";
17.12.2015;Le juge Sergio Moro, lEliot Ness brésilien;http://www.lemonde.fr/ameriques/article/2015/12/17/l-eliot-ness-bresilien_4833469_3222.html?xtmc=lava_jato&xtcr=80;Lava Jato;Correspondente Claire Gatinois;Sergio Moro;Sérgio Moro;Perfil de Sergio Moro. Sergio Moro, le « petit juge de province », un brun à la mâchoire carrée, haï des politiques et craint des puissants, mais adulé des simples citoyens brésiliens, sait quil a entre ses mains laffaire de sa vie. Le scandale à même de transformer son pays.;
17.12.2015;Le juge Sergio Moro, lEliot Ness brésilien;http://www.lemonde.fr/ameriques/article/2015/12/17/l-eliot-ness-bresilien_4833469_3222.html?xtmc=lava_jato&xtcr=80;Lava Jato;Correspondente Claire Gatinois;Folha de S. Paulo;Sérgio Moro;Perfil de Sergio Moro. Sergio Moro, le « petit juge de province », un brun à la mâchoire carrée, haï des politiques et craint des puissants, mais adulé des simples citoyens brésiliens, sait quil a entre ses mains laffaire de sa vie. Le scandale à même de transformer son pays.;
17.12.2015;Le juge Sergio Moro, lEliot Ness brésilien;http://www.lemonde.fr/ameriques/article/2015/12/17/l-eliot-ness-bresilien_4833469_3222.html?xtmc=lava_jato&xtcr=80;Lava Jato;Correspondente Claire Gatinois;O Globo;Sérgio Moro;Perfil de Sergio Moro. Sergio Moro, le « petit juge de province », un brun à la mâchoire carrée, haï des politiques et craint des puissants, mais adulé des simples citoyens brésiliens, sait quil a entre ses mains laffaire de sa vie. Le scandale à même de transformer son pays.;
17.12.2015;Le juge Sergio Moro, lEliot Ness brésilien;http://www.lemonde.fr/ameriques/article/2015/12/17/l-eliot-ness-bresilien_4833469_3222.html?xtmc=lava_jato&xtcr=80;Lava Jato;Correspondente Claire Gatinois;Thiago Jabor Pinheiro (advogado especialista em corrupção);Sérgio Moro;Perfil de Sergio Moro. Sergio Moro, le « petit juge de province », un brun à la mâchoire carrée, haï des politiques et craint des puissants, mais adulé des simples citoyens brésiliens, sait quil a entre ses mains laffaire de sa vie. Le scandale à même de transformer son pays.;
17.12.2015;Le juge Sergio Moro, lEliot Ness brésilien;http://www.lemonde.fr/ameriques/article/2015/12/17/l-eliot-ness-bresilien_4833469_3222.html?xtmc=lava_jato&xtcr=80;Lava Jato;Correspondente Claire Gatinois;Hélio Schwartsman (Folha de S. Paulo);Sérgio Moro;Perfil de Sergio Moro. Sergio Moro, le « petit juge de province », un brun à la mâchoire carrée, haï des politiques et craint des puissants, mais adulé des simples citoyens brésiliens, sait quil a entre ses mains laffaire de sa vie. Le scandale à même de transformer son pays.;
17.12.2015;Le juge Sergio Moro, lEliot Ness brésilien;http://www.lemonde.fr/ameriques/article/2015/12/17/l-eliot-ness-bresilien_4833469_3222.html?xtmc=lava_jato&xtcr=80;Lava Jato;Correspondente Claire Gatinois;The Economist;Sérgio Moro;Perfil de Sergio Moro. Sergio Moro, le « petit juge de province », un brun à la mâchoire carrée, haï des politiques et craint des puissants, mais adulé des simples citoyens brésiliens, sait quil a entre ses mains laffaire de sa vie. Le scandale à même de transformer son pays.;
17.12.2015;Le juge Sergio Moro, lEliot Ness brésilien;http://www.lemonde.fr/ameriques/article/2015/12/17/l-eliot-ness-bresilien_4833469_3222.html?xtmc=lava_jato&xtcr=80;Lava Jato;Correspondente Claire Gatinois;Sunday Times;Sérgio Moro;Perfil de Sergio Moro. Sergio Moro, le « petit juge de province », un brun à la mâchoire carrée, haï des politiques et craint des puissants, mais adulé des simples citoyens brésiliens, sait quil a entre ses mains laffaire de sa vie. Le scandale à même de transformer son pays.;
17.12.2015;Le juge Sergio Moro, lEliot Ness brésilien;http://www.lemonde.fr/ameriques/article/2015/12/17/l-eliot-ness-bresilien_4833469_3222.html?xtmc=lava_jato&xtcr=80;Lava Jato;Correspondente Claire Gatinois;Carlos Fernando dos Santos Lima (procurador geral da República em Curitiba);Sérgio Moro;Perfil de Sergio Moro. Sergio Moro, le « petit juge de province », un brun à la mâchoire carrée, haï des politiques et craint des puissants, mais adulé des simples citoyens brésiliens, sait quil a entre ses mains laffaire de sa vie. Le scandale à même de transformer son pays.;
