Data;Título;Link;Termo da pesquisa ;Autor;Fontes;Assuntos tratados;;
05.02.2016;"Au Brésil, le carnaval des illusions perdues
";http://www.lemonde.fr/ameriques/article/2016/02/05/au-bresil-le-carnaval-des-illusions-perdues_4860162_3222.html#wjvCtYYROvviHTxU.99;Lava Jato;Correspondente Claire Gatinois;El País, The Economist, Folha de S. Paulo;Crise no Brasil;"O texto fala sobre a vendas de máscaras do ""Japonês da Federal"" no Carnaval de 2016 e se refere à Operação Lava Jato como uma versão brasileira da operação ""Mãos Limpas"" ";
04.03.2016;Lancien président Lula tente de sauver sa réputation et le Brésil;http://www.lemonde.fr/ameriques/article/2016/03/04/lula-tente-de-sauver-sa-peau-et-le-bresil_4876388_3222.html#YFGLz62sZWWT0wlw.99;Lava Jato;Correspondente Claire Gatinois;Lula, jornal O Globo, Rrevista IstoÉ, Folha de S. Paulo, DataFolha, Cristiano Noronha (vice-presidente do escritório de análise política Arko Advice), Stéphane Monclaire (professora de ciências políticas da Sorbonne), ;Lula;envolvimento de Lula na Lava Jato ;
05.03.2016;"Au Brésil, lancien président Lula rattrapé par le scandale Petrobras
";http://www.lemonde.fr/ameriques/article/2016/03/05/bresil-les-partisans-de-l-ex-president-lula-denoncent-un-coup-d-etat_4877046_3222.html#h4EiTpG1gg3CmQmk.99;Lava Jato;Correspondente Claire Gatinois;Procurador Carlos Fernando dos Santos Lima, Lula, politólogo Carlos Melo (Insper), Stéphane Monclaire (professor de política da Sorbonne);Lula;;
06.03.2016;Brésil : rattrapé par le scandale Petrobras, lancien président Lula appelle ses partisans à le soutenir; http://www.lemonde.fr/ameriques/article/2016/03/06/bresil-rattrape-par-le-scandale-petrobras-l-ancien-president-lula-appelle-ses-partisans-a-le-soutenir_4877463_3222.html#uXdFtFz7qxba4aep.99;Lava Jato;AFP e Reuters;Lula, Marco Aurelio Mello, membro da Corte Suprema, rádio CBN, Gilmar Mendes, ;Lula;;
09.03.2016;"Un grand patron du BTP brésilien condamné
";http://www.lemonde.fr/ameriques/article/2016/03/09/un-grand-patron-du-btp-bresilien-condamne_4879208_3222.html#HV6YqZiMGwmlKpK4.99;Lava Jato;Correspondente Claire Gatinois;"Sergio Lazzarini (professor de economia e autor do livro Capitalismo de laços) 
";Marcelo Odebrecht;edição paga;
11.03.2016 ;"
Au Brésil, lancien président Lula tente déviter la prison";http://www.lemonde.fr/international/article/2016/03/11/au-bresil-l-ancien-president-lula-tente-d-eviter-la-prison_4881374_3210.html#usLgXuV83lTbvhQ5.99;Lava Jato;Correspondente Claire Gatinois;O Globo, Cassio Cunha Lima (chefe do PSDB no senado), Floriano Peixoto de Azevedo (professor de Direito da USP), Fernando Gabeira;Lula;;
14.03.2016;"Au Brésil, Dilma Rousseff face à des manifestations dampleur inédite
";http://www.lemonde.fr/ameriques/article/2016/03/14/au-bresil-dilma-rousseff-face-a-des-manifestations-d-ampleur-inedite_4882140_3222.html#z20FUVOQd0xQoQMr.99;Lava Jato;Correspondente Claire Gatinois;Leticia Falcao (manifestante anti-PT), Carlos Melo (politólogo do Insper), Joao Augusto de Castro Neves (consultoria de risco político Eurasia Group), Daniel Pereira Andrade (sociólogo da FGV), Denise Assis (escritora defensora de Dilma);Manifestações contra Dilma Rousseff;;
15.03.2016;"Après la colère de la rue, quel avenir politique pour le Brésil ?
";http://www.lemonde.fr/international/article/2016/03/15/apres-la-colere-de-la-rue-quel-avenir-politique-pour-le-bresil_4883105_3210.html#UEL1IRvRYlhmiJIM.99;Lava Jato;Correspondente Claire Gatinois;André Singer (Folha de S. Paulo), Clovis Rossi (Folha de S. Paulo), Dilma Rousseff, ;Dilma Rousseff;O texto fala sobre 5 hipóteses relacionadas à situação de Dilma no governo: Lula como Ministro (neste momento cita a Operação Lava Jato, Impeachment, Novas eleições, mudança de constituição (parlamentarismo) e Renúncia de Dilma. O texto cita que tanto Lula, Aécio e Temer estão envolvidos na Lava Jato.;
17.03.2016 ;Sergio Moro, le juge qui fait trembler le Brésil;http://www.lemonde.fr/ameriques/article/2016/03/17/bresil-sergio-moro-le-juge-au-c-ur-du-scandale-petrobras_4885091_3222.html#rczp0sCFUWdtVijh.99;Lava Jato;Le Monde;Sérgio Moro, New York Times, ;Sérgio Moro;;
17.03.2016 ;"Le retour de Lula au gouvernement met le Brésil dans la rue
";http://www.lemonde.fr/ameriques/article/2016/03/17/apres-l-arrivee-de-lula-au-gouvernement-le-bresil-s-embrase_4884300_3222.html#g4LdjttWrY8MgZRQ.99;Lava Jato;Correspondente Claire Gatinois;Stéphane Monclaire (especialista em Brasil na Sorbonne), Marco Antonio Carvalho Teixeira (professor de política da FGV), Mathias de Alencastro (politólogo), Carlos Melo (professor do Insper), ;Polêmica sobre a escuta telefônica entre Dilma e Lula;;
17.03.2016 ;Brésil : guérilla judiciaire contre Dilma Rousseff et Lula da Silva;http://www.lemonde.fr/ameriques/article/2016/03/17/bresil-un-juge-demande-la-suspension-de-l-entree-au-gouvernement-de-lula_4885125_3222.html#1PFLDKH65wyp1LLY.99;Lava Jato;Le Monde e AFP; Floriano Peixoto de Azevedo (professor da USP), Stéphane Monclaire (professora da Sorbonne especialista em Brasil);Escuta telefônica da conversa entre Lula e Dilma;Lula é citado como alvo da Operação Lava Jato;
18.03.2016 ;Au Brésil, le duel entre lancien président Lula et le juge Moro;http://www.lemonde.fr/ameriques/article/2016/03/18/au-bresil-le-face-a-face-entre-lula-et-le-juge-moro_4885357_3222.html?xtmc=lava_jato&xtcr=68;Lava Jato;Correspondente Claire Gatinois;Floriano Peixoto de Azevedo (professor da USP), Esther Solana (universitária que realiza uma pesquisa sobre as manifestações no Brasil), Daniel Pereira Andrade (professor de Sociologia da FGV);Lula e Moro;edição paga;
18.03.2016;Brésil : les protagonistes de la crise qui secoue le pays;http://www.lemonde.fr/ameriques/article/2016/03/18/bresil-les-protagonistes-de-la-crise-qui-secoue-le-pays_4886037_3222.html#PhWPlRPgTzibf76o.99;Lava Jato;Le Monde;Sem fontes- explicação sobre os atores envolvidos na crise do país;Protagonistas da crise do Brasil;;
19.03.2016;Au Brésil, la « magie Lula » affaiblie mais toujours vivante;http://www.lemonde.fr/ameriques/article/2016/03/19/lula-se-pose-en-reconciliateur-du-bresil_4886120_3222.html#hjQM3hjdF7rAiO69.99;Lava Jato;Correspondente Claire Gatinois;Evaldo Serafim Coelho (vendedor ambulante), Lula, Celso Marcondes, (Instituto Lula);Lula;"O texto fala que Lula perdeu força, mas ainda tem apoio de muitos brasileiros, e trata das manifestações em seu apoio na época em que foi nomeado  Ministro da Casa Civil. 
Lancien syndicaliste a mis de côté les critiques formulées ces derniers jours contre les médias et les méthodes du juge Sergio Moro, en charge de lenquête « Lava Jato » portant sur le scandale de corruption impliquant le groupe pétrolier Petrobras, des entreprises du BTP et une multitude de dirigeants politiques. Vendredi, il nétait question que de « paix et damour ».";
25.03.2016;Dilma Rousseff : « Pour môter le pouvoir, il faudra des preuves »;http://www.lemonde.fr/ameriques/article/2016/03/25/dilma-rousseff-pour-m-oter-le-pouvoir-il-faudra-des-preuves_4889860_3222.html#XeW1r8La1GlcMGWm.99;Lava Jato;Correspondente Claire Gatinois;Dilma Rousseff;Dilma Rousseff;Entrevista com Dilma Rousseff na época em que havia grandes rumores sobre sua destituição. Dilma concedeu entrevista a 6 jornais estrangeiros, entre eles o Le Monde. Ela defende-se e diz que não está envolvida na Operação Lava Jato.;
28.03.2016;Le juge Moro, ennemi juré de Lula, idole des Brésiliens;http://www.lemonde.fr/m-actu/article/2016/03/28/le-juge-moro-ennemi-jure-de-lula-idole-des-bresiliens_4891019_4497186.html?xtmc=lava_jato&xtcr=64;Lava Jato;Correspondente Claire Gatinois;advogado de um envolvido no caso, Celso Marcondes (Instituto Lula);Sérgio Moro;;
29.03.2016 ;Lula en mission séduction pour défendre Dilma Rousseff;http://www.lemonde.fr/ameriques/article/2016/03/29/l-operation-seduction-de-lula-pour-defendre-dilma-rousseff_4891456_3222.html#L9CmGIpe5pWFBT5W.99;Lava Jato;Correspondente Claire Gatinois;Lula;Lula;A matéria fala sobre a coletiva concedida por Lula à imprensa internacional e sobre a tentativa dele de ajudar a salvar o mandato de Dilma;
30.03.2016;"Brésil : le gouvernement de Dilma Rousseff est-il vraiment fini ?
";http://www.lemonde.fr/ameriques/article/2016/03/30/dilma-rousseff-lachee-par-son-principal-allie_4892108_3222.html#HITxDmLZKeWRb85h.99;Lava Jato;Correspondente Claire Gatinois;Aécio Neves (PSDB), Marco Antonio Carvalho Teixeira (politólogo da FGV), fonte anônima de Brasília;Governo de Dilma Rousseff;;
04.04.2016;"
Brésil : Petrobras au cur de la corruption
";http://www.lemonde.fr/panama-papers/article/2016/04/04/bresil-petrobras-au-c-ur-de-la-corruption_4895173_4890278.html#SYJvCX2kmsjB6JT5.99;Lava Jato;Le Monde;Sem fontes   ;Petrobras;Texto sobre os escândalos de corrupção envolvendo a Petrobras, em especial, o Panama Papers;
07.04.2016;"Au Brésil, la « ?troisième voie » de Marina Silva
";http://www.lemonde.fr/ameriques/article/2016/04/07/au-bresil-la-troisieme-voie-de-marina-silva_4897664_3222.html#cQP7pRqjhGwDUpyP.99;Lava Jato;Correspondente Claire Gatinois;Marina Silva;Entrevista com Marina Silva;Marina comenta sobre a Lava Jato durante a entrevista e o texto fala sobre o envolvimento de Lula na Lava Jato;
16.04.2016;"« Lava jato », prémices dun berluconisme brésilien ?
";http://www.lemonde.fr/idees/article/2016/04/16/lava-jato-premices-d-un-berluconisme-bresilien_4903435_3232.html#OQU80vKSLfx3YXkr.99;Lava Jato;Correspondente Claire Gatinois;Sergio Moro (Folha de S. Paulo),;Comparação com a Operação mãos limpas;edição paga;
16.04.2016;« Le Brésil vit une mise à lépreuve démocratique »;http://www.lemonde.fr/idees/article/2016/04/16/le-parti-des-travailleurs-s-est-laisse-engluer-par-un-systeme-politique-a-bout-de-souffle_4903544_3232.html#ylEmGxwd87U4OwCB.99;Lava Jato;Frédéric Louault ;Dilma Rousseff;Dilma Rousseff;Texto de opinião escrito por Frédéric Louault, professor da Universidade livre de Bruxelas e vice-presidente do Observatório Político da América Latina e Caribe;
13.05.2016;Les embarras judiciaires de Michel Temer, le président brésilien par intérim;http://www.lemonde.fr/ameriques/article/2016/05/13/les-embarras-judiciaires-de-michel-temer-le-president-bresilien-par-interim_4918968_3222.html#mCfAvMZ9g72ieW3x.99;Lava Jato;Correspondente Claire Gatinois;Claudia Ferreira Mac Dowell (procuradora da Justiça Eleitoral), assessor de imprensa de Michel Temer, ;Envolvimento de Michel Temer em casos de corrupção;;
16.05.2016;Après la chute de Dilma Rousseff, le nouveau gouvernement brésilien ne séduit pas;http://www.lemonde.fr/ameriques/article/2016/05/16/apres-la-chute-de-dilma-rousseff-le-nouveau-gouvernement-bresilien-ne-seduit-pas_4920059_3222.html#wSv6rJgp2da6XCmK.99;Lava Jato;Correspondente Claire Gatinois;Mario Vargas Llosa, Armelle Enders (escritora), New York Times, Rosiska Darcy de Oliveira (jornalista do O Globo), Lucia Xavier (grupo de articulação das mulheres negras), Associação Procure Saber, O Globo, Fernando Henrique Cardoso, Marco Antonio Carvalho Teixeira (FGV);Governo interim de Michel Temer;;
24.05.2016;Au Brésil, le gouvernement par intérim rattrapé par le scandale de corruption Petrobras; http://www.lemonde.fr/ameriques/article/2016/05/24/au-bresil-le-gouvernement-par-interim-rattrape-par-le-scandale-de-corruption-petrobras_4925365_3222.html#mhr73mxwzd5l2AsY.99;Lava Jato;Correspondente Claire Gatinois;Marco Antonio Carvalho Teixeira (politólogo da FGV), Aécio Neves, fonte anônima de Brasília;Governo de Dilma Rouseff;edição paga;
07.06.2016 ;Limplosion du système brésilien;http://abonnes.lemonde.fr/idees/article/2016/06/07/l-implosion-du-systeme-bresilien_4940662_3232.html?xtmc=operation_lava_jato&xtcr=78;Lava Jato;Correspondente Claire Gatinois;Laurent Vidal (professor da Université La Rochelle), Site Congresso em Foco, Bruno Brandao (Transparência Internacional), fonte anônima de Brasília, Folha de S. Paulo, Carlos Melo (professor do Insper), Roberto Dias (professor de Direito da FGV), Vidal. Norman Gall (diretor do Instituto Fernand-Braudel em São Paulo), Fernando ­Gabeira (escritor e deputado do Partido Verde) ;Crise no Brasil- Corrupção;;
08.07.2016;Brésil : les larmes amères dEduardo Cunha;http://www.lemonde.fr/ameriques/article/2016/07/08/bresil-les-larmes-ameres-d-eduardo-cunha_4966547_3222.html#twyVdzfterz8kdC3.99;Lava Jato;Correspondente Claire Gatinois;Eduardo Cunha, Marco Antonio Carvalho Teixeira (politólogo da FGV), fonte anônima de Brasília, ;demissão de Eduardo Cunha da presidência da Câmara;Cunha é citado como um dos políticos envolvidos na Lava Jato;
29.07.2016;Au Brésil, lex-président Lula inculpé pour tentative dentrave à la justice;http://www.lemonde.fr/ameriques/article/2016/07/29/au-bresil-l-ex-president-lula-inculpe-pour-tentative-d-entrave-a-la-justice_4976480_3222.html#Mq8wcEz6y4YYQYMX.99;Lava Jato;Correspondente Claire Gatinois;Lula,   Roberto Teixeira e Cristiano Zanin Martins (advogados de Lula), RP do Instituto Lula, Carlos Melo (professor do Insper);Lula;;
13.09.2016;"
Brésil : Eduardo Cunha inéligible jusquen 2027";http://abonnes.lemonde.fr/ameriques/article/2016/09/13/bresil-eduardo-cunha-ineligible-jusqu-en-2027_4996632_3222.html?xtmc=operation_lava_jato&xtcr=64;Lava Jato;Correspondente Claire Gatinois;Eduardo Cunha, Gilberto Maringoni (professor da UFABC), Datafolha, Folha de S. Paulo, Carlos Marun (deputado amigo de Cunha), Marco Antonio Carvalho Teixeira (FGV), ;Eduardo Cunha;;
14.09.2016;"
Petrobras : Lula accusé dêtre le « chef suprême » du réseau de corruption";http://www.lemonde.fr/ameriques/article/2016/09/14/l-ancien-president-bresilien-lula-et-son-epouse-inculpes-pour-corruption_4997791_3222.html#icvFpWQumXqggxC9.99;Lava Jato;Correspondente Claire Gatinois;Deltan Dallagnol, Cristiano Zanin Martins (advogado de Lula), Mathias de Alencastro (politólogo próximo do PT), Lindbergh Farias (senador do PT);Lula;;
15.09.2016;Face aux accusations, lancien président brésilien Lula contre-attaque; http://www.lemonde.fr/ameriques/article/2016/09/15/face-aux-accusations-l-ancien-president-bresilien-lula-contre-attaque_4998481_3222.html#lbZGwWITPe7bcWCy.99;Lava Jato;Correspondente Claire Gatinois;Lula, Folha de S. Paulo, Deltan Dallagnol, Cristiano Zanin (advogado de Lula);Lula;;
17.09.2016;Au Brésil, le business lucratif des bracelets électroniques;http://www.lemonde.fr/economie/article/2016/09/17/au-bresil-le-business-lucratif-des-bracelets-electroniques_4999244_3234.html#Z954hKpblZOMrJym.99;Lava Jato;Correspondente Claire Gatinois;Savio Bloomfield (dono da Spacecom);Aumento da venda de pulseiras eletrônicas;A matéria fala que a Operação Lava Jato é um dos motivos da venda de pulseiras eletrônicas ter crescido no Brasil;
20.09.2016;Lex-président brésilien Lula inculpé de corruption dans laffaire Petrobras;http://www.lemonde.fr/ameriques/article/2016/09/20/l-ex-president-bresilien-lula-sera-juge-pour-corruption-dans-l-affaire-petrobras_5000947_3222.html#DGFWX3bdpISOxgYe.99;Lava Jato;Correspondente Claire Gatinois;Reinaldo Azevedo, Folha de S. Paulo, Sergio Moro, Facebook oficial do Lula, Gilberto Maringoni (Psol);Lula;;
22.09.2016;Brésil : larrestation dun ex-ministre des finances affaiblit encore la défense de Rousseff et Lula;http://www.lemonde.fr/ameriques/article/2016/09/22/bresil-l-ancien-ministre-des-finances-de-dilma-rousseff-arrete_5001949_3222.html#WJ0yMrjpYPXjkTJY.99;Lava Jato;Correspondente Claire Gatinois;Carlos Fernando dos Santos Lima (procurador), Marco Antonio Carvalho Teixeira( politólogo da FGV), Folha de Sao Paulo, Rui Falcão (entrevistado pela Folha);Detenção Provisória de Guido Mantega;;
11.10.2016;Lex-président brésilien Lula mis en cause dans un schéma de corruption en Angola;http://www.lemonde.fr/ameriques/article/2016/10/11/l-ex-president-bresilien-lula-mis-en-cause-dans-un-schema-de-corruption-en-angola_5011451_3222.html#8GeGW0GaTa7zvLl5.99;Lava Jato;Correspondente Claire Gatinois;Cristiano Zanin Martins (advogado de Lula), Ministério Público, Suprema Corte, Gilberto Maringoni (professor da UFABC), Marco Antonio Carvalho Teixeira (FGV);Lula   ;A matéria fala sobre um esquema de corrupção no qual Lula estaria envolvido e cita o envolvimento dele na investigação da Lava Jato;
14.10.2016;Brésil : Lula inculpé dans une affaire de contrats en Angola;http://www.lemonde.fr/ameriques/article/2016/10/14/au-bresil-lula-inculpe-pour-la-troisieme-fois_5013522_3222.html#PGhrGLyh2ddekbff.99;Lava Jato;Correspondente Claire Gatinois;Cristiano Zanin Martins (advogado de Lula), Revista Época, fonte anônima   ;Lula;A matéria fala sobre um esquema de corrupção no qual Lula estaria envolvido e cita o envolvimento dele na investigação da Lava Jato;
19.10.2016;Eduardo Cunha, larchitecte de la destitution de Dilma Rousseff, a été emprisonné;http://www.lemonde.fr/ameriques/article/2016/10/19/bresil-eduardo-cunha-a-ete-arrete_5016643_3222.html#fmgLm0VsYUkUR8Co.99;Lava Jato;Correspondente Claire Gatinois;Marco Antonio Carvalho Teixeira (politólogo da FGV),  Carlos Melo (professor do Insper),  Carlos Melo (politólogo);Eduardo Cunha;;
31.10.2016;"Un évangélique prend la mairie de Rio
";http://www.lemonde.fr/ameriques/article/2016/10/31/un-evangelique-prend-la-mairie-de-rio_5022862_3222.html#1H55QZwUjOBqIOtF.99;Lava Jato;Correspondente Claire Gatinois;Marcelo Crivella, Brand Arenari (professor da UFF), ;Marcelo Crivella;Citação de Marcelo Crivella em uma delação da Lava Jato;
05.11.2016;"« Le taux inédit dabstention aux élections brésiliennes trahit un profond désarroi »
";http://www.lemonde.fr/idees/article/2016/11/05/le-desarroi-de-la-societe-bresilienne_5025904_3232.html#lEsyABwfk9YIZY56.99;Lava Jato;Correspondente Claire Gatinois;Folha de S. Paulo, Marco Antonio Carvalho Teixeira (FGV),   ;Eleições municipais no Brasil;O texto mostra a Lava Jato como um dos elementos que motivaram a abstenção dos eleitores brasileiros;
11.11.2016;La douloureuse renaissance de Petrobras;http://abonnes.lemonde.fr/economie/article/2016/11/11/la-douloureuse-renaissance-de-petrobras_5029389_3234.html?xtmc=lava_jato&xtcr=4;Lava Jato;Correspondente Claire Gatinois;Jose Maria Rangel (técnico de manutenção elétrica da Petrobras), Adriano Pires (diretor do CBIE), André Rocha (analista financeiro), André Nassif (professor de economia da Universidade Federal Fluminense);Petrobras;;
11.11.2016;"La déconfiture de Petrobras a accentué le marasme dans lEtat de Rio
";http://www.lemonde.fr/economie/article/2016/11/11/la-deconfiture-de-petrobras-a-accentue-le-marasme-dans-l-etat-de-rio_5029404_3234.html#PzwdD8Of1sqFpfud.99;Lava Jato;Correspondente Claire Gatinois;André Nassif (professor de economia da Universidade Federal Fluminense), ;Petrobras;;
15.11.2016;Carmen Lucia, la « mère supérieure » qui veut en finir avec la corruption au Brésil;http://www.lemonde.fr/ameriques/article/2016/11/15/carmen-lucia-la-mere-superieure-qui-veut-en-finir-avec-la-corruption-au-bresil_5031619_3222.html#hpYllRZ07fDcpuyh.99;Lava Jato;Correspondente Claire Gatinois;Rodrigo Janot, Carmen Lucia, Daniel Vargas (professor de Direito da FGV);Carmen Lucia;;
26.11.2016;Le gouvernement brésilien fragilisé par la nouvelle démission dun ministre;http://www.lemonde.fr/ameriques/article/2016/11/26/le-gouvernement-bresilien-fragilise-par-la-demission-d-un-nouveau-ministre_5038552_3222.html#V4ey7tiV7p1XzFhj.99;Lava Jato;Correspondente Claire Gatinois;Geddel Vieira Lima, Fabio Zanini (jornalista da Folha), Jose Roberto Toledo (jornalista do Estadão-via Twitter);Demissão de Geddel Vieira Lima;O PMDB é citado como alvo da Operação Lava Jato;
29.11.2016;Lex-gouverneur de Rio, de la vie de château au cachot;http://www.lemonde.fr/m-moyen-format/article/2016/11/29/l-ex-gouverneur-de-rio-de-la-vie-de-chateau-au-cachot_5040070_4497271.html#ZdL5U9GfSg4Lgv4A.99;Lava Jato;Correspondente Claire Gatinois;Piauí, Sérgio Moro, ;Sérgio Cabral;;
05.12.2016;"Les Brésiliens dans la rue contre la corruption
";http://www.lemonde.fr/international/article/2016/12/05/les-bresiliens-dans-la-rue-contre-la-corruption_5043350_3210.html#jq1LI6O96Fz8plzo.99;Lava Jato;Correspondente Claire Gatinois;"participante do MBL, Roberto Livianu (presidente da ONG Nao aceito corrupçao), Kim Kataguiri (MBL), Marcos Tomio (consultor comercial),  Douglas Lima (dono de uma empresa de exportação e importação)
";Manifestação de defesa à Lava Jato;;
09.12.2016;Au Brésil, les réformes tardent et léconomie patine;http://www.lemonde.fr/economie/article/2016/12/09/au-bresil-les-reformes-tardent-et-l-economie-patine_5046159_3234.html#pWLErgj3K2R1Ax2H.99;Lava Jato;Correspondente Claire Gatinois;fonte anônima de Brasília, Marcos Lisboa (Insper), Juan Carlos Rodado (banco Natixis), Luis Stuhlberger (Verde Asset Management), Nilson Teixeira (economista do Credit Suisse), Roberto Feldmann (Professor USP);Crise Política;A Lava Jato é citada por Roberto Feldmann como a melhor coisa que já aconteceu ao Brasil.;
15.12.2016;"Le Brésil senfonce dans une crise de régime
";http://www.lemonde.fr/ameriques/article/2016/12/15/le-president-bresilien-piege-par-un-nouveau-scandale-de-corruption_5049107_3222.html#ELgbsz0lZ7YSeIzI.99;Lava Jato;Correspondente Claire Gatinois;Ronaldo Caiado,  Mathias de Alencastro (politólogo), Jean Wyllys  (PSOL), Gilberto Maringoni, ;Crise Politica;;
20.12.2016;"Au Brésil, la saison 2 de laffaire « Lava Jato »
";http://www.lemonde.fr/ameriques/article/2016/12/20/au-bresil-la-saison-2-de-l-affaire-lava-jato_5051585_3222.html#Tclu2J3tiTxRrHHx.99;Lava Jato;Correspondente Claire Gatinois;Revista Piauí;Lava Jato;;
 23.01.2017;"Au Brésil, mort dun juge anticorruption qui instruisait lenquête « Lava Jato »
";http://www.lemonde.fr/ameriques/article/2017/01/23/au-bresil-mort-d-un-juge-anticorruption-qui-instruisait-l-enquete-lava-jato_5067507_3222.html#OqkzP2PoyisiQEFC.99;Lava Jato;Correspondente Claire Gatinois;Sergio Moro (entrevista para a FSP), Daniel Vargas (professor de Direito da FGV), ;Teori Zavaski;;
30.01.2017;"Fin de cavale pour Eike Batista, le «?Steve Jobs do Brasil?», accusé de corruption
";http://www.lemonde.fr/economie/article/2017/01/30/fin-de-cavale-pour-eike-batista-le-steve-jobs-do-brasil-accuse-de-corruption_5071406_3234.html#XVkETrKtPgKLlb8f.99;Lava Jato;Correspondente Claire Gatinois;Malu Gaspar (jornalista e escritora), Gesner Oliveira (economista), Forbes, ;Eike Batista;;
