URL;LULA;DILMA ROUSSEFF;TEMER;SERGIO MORO;ODEBRECHT;PETROBRAS
http://www.lemonde.fr/ameriques/article/2016/05/13/les-embarras-judiciaires-de-michel-temer-le-president-bresilien-par-interim_4918968_3222.html#mCfAvMZ9g72ieW3x.99;False;True;True;False;False;True
http://www.lemonde.fr/ameriques/article/2016/05/16/apres-la-chute-de-dilma-rousseff-le-nouveau-gouvernement-bresilien-ne-seduit-pas_4920059_3222.html#wSv6rJgp2da6XCmK.99;True;True;True;False;False;True
http://www.lemonde.fr/ameriques/article/2016/05/24/au-bresil-le-gouvernement-par-interim-rattrape-par-le-scandale-de-corruption-petrobras_4925365_3222.html#mhr73mxwzd5l2AsY.99;False;True;True;False;False;True
http://abonnes.lemonde.fr/idees/article/2016/06/07/l-implosion-du-systeme-bresilien_4940662_3232.html?xtmc=operation_lava_jato&xtcr=78;True;True;True;False;True;True
http://www.lemonde.fr/ameriques/article/2016/07/08/bresil-les-larmes-ameres-d-eduardo-cunha_4966547_3222.html#twyVdzfterz8kdC3.99;False;True;True;False;False;False
http://abonnes.lemonde.fr/ameriques/article/2016/07/29/au-bresil-l-ex-president-lula-inculpe-pour-tentative-d-entrave-a-la-justice_4976480_3222.html#Mq8wcEz6y4YYQYMX.99;True;True;False;True;False;True
http://www.lemonde.fr/ameriques/article/2016/09/13/bresil-eduardo-cunha-ineligible-jusqu-en-2027_4996632_3222.html?xtmc=operation_lava_jato&xtcr=64;True;True;True;False;False;True
http://abonnes.lemonde.fr/ameriques/article/2016/09/14/l-ancien-president-bresilien-lula-et-son-epouse-inculpes-pour-corruption_4997791_3222.html#icvFpWQumXqggxC9.99;True;True;True;True;False;True
http://abonnes.lemonde.fr/ameriques/article/2016/09/15/face-aux-accusations-l-ancien-president-bresilien-lula-contre-attaque_4998481_3222.html#lbZGwWITPe7bcWCy.99;True;True;False;False;False;True
http://www.lemonde.fr/economie/article/2016/09/17/au-bresil-le-business-lucratif-des-bracelets-electroniques_4999244_3234.html#Z954hKpblZOMrJym.99;False;False;False;False;False;True
http://abonnes.lemonde.fr/ameriques/article/2016/09/20/l-ex-president-bresilien-lula-sera-juge-pour-corruption-dans-l-affaire-petrobras_5000947_3222.html#DGFWX3bdpISOxgYe.99;True;False;True;True;False;True
